192gms,,557gms,,1138gms,,2269gms,
X,Y,X,Y,X,Y,X,Y
3.8654406944543833,1.358555398627544,3.9614478334487195,0.4304697530741266,4.045079089471203,0.2102865063964634,4.138744978978635,0.11100317920728742
3.9224502255273865,1.3795623511654713,4.018516761971708,0.430450008317401,4.1021080661379505,0.22440971874864157,4.1958033008141244,0.11473820182460681
3.9795032440191287,1.3851747574698137,4.075585690494695,0.43043026356067493,4.159154720617194,0.2322749854774102,4.252859501312115,0.11922417791673512
4.036524088892128,1.402176624808759,4.135433843108322,0.43549292964533404,4.2162027893214375,0.23963961655630683,4.309928429835104,0.1192044331600095
4.093529023733882,1.4248106432087728,4.189646825834441,0.45755025805281724,4.273278081856923,0.23736701137515448,4.366997711914341,0.11905952949081611
4.150535372800636,1.4469440259589135,4.246665902926191,0.4751779199541035,4.330325797004917,0.24485680136651933,4.424082196912325,0.11353279258549032
4.207577431048631,1.4564363585497693,4.303717507192933,0.4812909619083183,4.38741063555915,0.23920490554872487,4.481136276072817,0.11876972215242754
4.264591204796632,1.4759414041380785,4.360786435715921,0.4812712171515927,4.444436076663399,0.25457970702558486,4.538204143927055,0.1191254541331066
4.321595078969637,1.4989508992754965,4.417855010682659,0.4813766313073353,4.501498641173889,0.2568128226932864,4.595258930200046,0.12411206587510781
4.378638551442632,1.5079425962164792,4.473688151325672,0.4949996222353059,4.558567569696876,0.25679307793656037,4.652310888023039,0.1300999489168544
4.435639243609386,1.5320785215661108,4.531918974472403,0.5074953544997318,4.615636498219864,0.25677333317983475,4.709382644996025,0.12907893286038385
4.492659734926137,1.5492055478175248,4.588988256551641,0.507350450830538,4.672705426742852,0.25675358842310914,4.766434249262767,0.13519197481459777
4.54966573043664,1.571464089480134,4.646046224830881,0.5112106323603252,4.72977435526584,0.2567338436663831,4.823516259367002,0.13054135029655
4.606679504184641,1.590969135068443,4.703059645022633,0.5308408368611026,4.786843283788827,0.25671409890965746,4.880557610502497,0.1402840007123416
4.663693985045144,1.610223862831816,4.760125037983122,0.5320726812290588,4.843912212311816,0.25669435415293185,4.937620882125486,0.1422667985551067
4.720699980555647,1.632482404494425,4.817193966506109,0.5320529364723328,4.900980080166054,0.2570500861336109,4.99470642779222,0.13636458491237624
4.777716582753649,1.650986178782989,4.874258298797849,0.5336602575776936,4.958029209539046,0.2640392404751024,5.051777124096457,0.13571904559330994
4.834746973645396,1.6646087554852942,4.931267476314601,0.5547923690280889,5.0151016736245335,0.262767906593695,5.10882766769445,0.14220756428492942
4.891777364537144,1.678231332187599,4.988355850431335,0.547888884085614,5.072179794610019,0.2594940301127968,5.165916041811183,0.13530407934245448
4.948798916522644,1.6949828817016086,5.028728320756485,0.5405461734942119,5.129256854926754,0.2565956303693029,5.222984616777921,0.13540949349819664
5.005805972701897,1.716865946626813,5.076521465358915,0.5591226715837188,5.1862967918372505,0.2668389164349674,5.280053545300908,0.13538974874147103
5.062820807118649,1.7359955154777178,5.133589333213153,0.5594784035643974,5.243334960966496,0.27770799706297256,5.337121766711396,0.13562032180968142
5.1198384699854,1.7541238130288772,5.190621491886151,0.572475185704362,5.300404596601982,0.2774379344813105,5.39416382495939,0.14511265440053656
5.176864264645898,1.7693734555932685,5.247657186121646,0.5842203787196443,5.35743958372498,0.2894334453215297,5.451229217919879,0.14634449876849276
5.233888998637648,1.7849985748950643,5.304726114644634,0.5842006339629182,5.414456539479231,0.30781206069762534,5.5082981464428675,0.14632475401176714
5.290894994148151,1.8072571165576734,5.361795043167622,0.5841808892061926,5.471528296452218,0.3067910446411539,5.565366721409605,0.1464301681675093
5.347924324371149,1.8212551699973831,5.418840283421866,0.5925467915848346,5.528614549231452,0.30063851317348744,5.622420447013846,0.1517922566469152
5.404950119031648,1.8365048125617744,5.474710520274485,0.5930377243122984,5.585660496598194,0.3087540977271934,5.6795031642305815,0.146891314303931
5.461991116610893,1.8463726218900343,5.510522722367302,0.5832116011487467,5.642729425121182,0.3087343529704678,5.736572799866069,0.14662125172226892
5.519002769021395,1.8666286209531526,5.5611000635117325,0.5854886801762929,5.69979835364417,0.30871460821374175,5.793622989907811,0.15323492932635574
5.580183839575837,1.8801746663256695,5.612362886765924,0.6041099763531217,5.756867635723408,0.3085697045445479,5.8506883828683005,0.15446677369431194
5.633012285148653,1.912021816665648,5.672969444732242,0.6232479301356815,5.813924189777649,0.312930521724208,5.907757311391288,0.15444702893758633
5.690040554702902,1.9263953468427621,5.730009028086488,0.6336163751138142,5.870974026263141,0.3196693582407635,5.96480820854553,0.16081038871673714
5.7470684707009,1.9408940359323443,5.787077956609475,0.6335966303570881,5.928034822992381,0.32252826847080573,6.021882086856017,0.15903841918545725
5.804077294661402,1.962151306295208,5.844146885132463,0.6335768856003625,5.98512484703828,0.3150407086034792,6.078938287354007,0.16352439527758555
5.861105564215651,1.9765248364723222,5.901215813655451,0.6335571408436369,6.023667495410026,0.3141095424572873,6.136003680314498,0.1647562396455413
5.91816742161364,1.97900826996496,5.957134118617124,0.6473052610965282,6.073284922917945,0.3282353190635856,6.193062355706238,0.16836610335039248
